name, height, width, time, numRuns, p
images/bp1080.bmp, 1080, 1080, 0.0042, 10,
images/bp1080.bmp, 1080, 1080, 0.00421, 10, 1
images/bp1080.bmp, 1080, 1080, 0.00223, 10, 2
images/bp1080.bmp, 1080, 1080, 0.00143, 10, 4
images/bp1080.bmp, 1080, 1080, 0.00106, 10, 8
images/bp1440.bmp, 1440, 1440, 0.00757, 10,
images/bp1440.bmp, 1440, 1440, 0.00754, 10, 1
images/bp1440.bmp, 1440, 1440, 0.00395, 10, 2
images/bp1440.bmp, 1440, 1440, 0.0024, 10, 4
images/bp1440.bmp, 1440, 1440, 0.0016, 10, 8
images/bp180.bmp, 180, 180, 0.0001, 10,
images/bp180.bmp, 180, 180, 0.00011, 10, 1
images/bp180.bmp, 180, 180, 0.00012, 10, 2
images/bp180.bmp, 180, 180, 0.00021, 10, 4
images/bp180.bmp, 180, 180, 0.00037, 10, 8
images/bp1800.bmp, 1800, 1800, 0.01203, 10,
images/bp1800.bmp, 1800, 1800, 0.01165, 10, 1
images/bp1800.bmp, 1800, 1800, 0.0069, 10, 2
images/bp1800.bmp, 1800, 1800, 0.00353, 10, 4
images/bp1800.bmp, 1800, 1800, 0.00234, 10, 8
images/bp360.bmp, 360, 360, 0.00051, 10,
images/bp360.bmp, 360, 360, 0.00052, 10, 1
images/bp360.bmp, 360, 360, 0.00033, 10, 2
images/bp360.bmp, 360, 360, 0.00032, 10, 4
images/bp360.bmp, 360, 360, 0.00037, 10, 8
images/bp720.bmp, 720, 720, 0.00189, 10,
images/bp720.bmp, 720, 720, 0.00196, 10, 1
images/bp720.bmp, 720, 720, 0.0012, 10, 2
images/bp720.bmp, 720, 720, 0.00075, 10, 4
images/bp720.bmp, 720, 720, 0.00062, 10, 8
