height, width, time, numRuns, p
images/bp1080.bmp, 1080, 1080, 0.90887, 10,
images/bp1080.bmp, 1080, 1080, 0.91854, 10, 1
images/bp1080.bmp, 1080, 1080, 0.61515, 10, 2
images/bp1080.bmp, 1080, 1080, 0.44978, 10, 4
images/bp1080.bmp, 1080, 1080, 0.40348, 10, 8
images/bp1440.bmp, 1440, 1440, 1.58586, 10,
images/bp1440.bmp, 1440, 1440, 1.61441, 10, 1
images/bp1440.bmp, 1440, 1440, 1.05563, 10, 2
images/bp1440.bmp, 1440, 1440, 0.78393, 10, 4
images/bp1440.bmp, 1440, 1440, 0.67761, 10, 8
images/bp180.bmp, 180, 180, 0.02491, 10,
images/bp180.bmp, 180, 180, 0.02483, 10, 1
images/bp180.bmp, 180, 180, 0.01763, 10, 2
images/bp180.bmp, 180, 180, 0.01274, 10, 4
images/bp180.bmp, 180, 180, 0.02701, 10, 8
images/bp1800.bmp, 1800, 1800, 2.49114, 10,
images/bp1800.bmp, 1800, 1800, 2.54452, 10, 1
images/bp1800.bmp, 1800, 1800, 1.67034, 10, 2
images/bp1800.bmp, 1800, 1800, 1.25135, 10, 4
images/bp1800.bmp, 1800, 1800, 1.09862, 10, 8
images/bp360.bmp, 360, 360, 0.0962, 10,
images/bp360.bmp, 360, 360, 0.09891, 10, 1
images/bp360.bmp, 360, 360, 0.06591, 10, 2
images/bp360.bmp, 360, 360, 0.05093, 10, 4
images/bp360.bmp, 360, 360, 0.06172, 10, 8
images/bp720.bmp, 720, 720, 0.4026, 10,
images/bp720.bmp, 720, 720, 0.42049, 10, 1
images/bp720.bmp, 720, 720, 0.27544, 10, 2
images/bp720.bmp, 720, 720, 0.19828, 10, 4
images/bp720.bmp, 720, 720, 0.22031, 10, 8
images/out.bmp, 720, 720, 0.43054, 10,
images/out.bmp, 720, 720, 0.44402, 10, 1
images/out.bmp, 720, 720, 0.28789, 10, 2
images/out.bmp, 720, 720, 0.21815, 10, 4
images/out.bmp, 720, 720, 0.21373, 10, 8
