name, height, width, time, numRuns, p
images/bp1080.bmp, 1080, 1080, 0.84482, 10,
images/bp1080.bmp, 1080, 1080, 0.95431, 10, 1
images/bp1080.bmp, 1080, 1080, 0.55054, 10, 2
images/bp1080.bmp, 1080, 1080, 0.35585, 10, 4
images/bp1080.bmp, 1080, 1080, 0.25229, 10, 8
images/bp1440.bmp, 1440, 1440, 1.59335, 10,
images/bp1440.bmp, 1440, 1440, 1.76009, 10, 1
images/bp1440.bmp, 1440, 1440, 0.98831, 10, 2
images/bp1440.bmp, 1440, 1440, 0.59453, 10, 4
images/bp1440.bmp, 1440, 1440, 0.46509, 10, 8
images/bp180.bmp, 180, 180, 0.02047, 10,
images/bp180.bmp, 180, 180, 0.02314, 10, 1
images/bp180.bmp, 180, 180, 0.01442, 10, 2
images/bp180.bmp, 180, 180, 0.0105, 10, 4
images/bp180.bmp, 180, 180, 0.00761, 10, 8
images/bp1800.bmp, 1800, 1800, 2.63098, 10,
images/bp1800.bmp, 1800, 1800, 2.93935, 10, 1
images/bp1800.bmp, 1800, 1800, 1.67103, 10, 2
images/bp1800.bmp, 1800, 1800, 0.98523, 10, 4
images/bp1800.bmp, 1800, 1800, 0.94037, 10, 8
images/bp360.bmp, 360, 360, 0.09519, 10,
images/bp360.bmp, 360, 360, 0.09826, 10, 1
images/bp360.bmp, 360, 360, 0.05681, 10, 2
images/bp360.bmp, 360, 360, 0.0379, 10, 4
images/bp360.bmp, 360, 360, 0.02504, 10, 8
images/bp720.bmp, 720, 720, 0.37011, 10,
images/bp720.bmp, 720, 720, 0.40626, 10, 1
images/bp720.bmp, 720, 720, 0.25782, 10, 2
images/bp720.bmp, 720, 720, 0.14105, 10, 4
images/bp720.bmp, 720, 720, 0.10846, 10, 8
